# IRF4-IRF4,IRF4-REL,IRF4-PAX5,IRF4-RELA,IRF4-PRDM1,IRF4-AICDA,REL-IRF4,REL-REL,REL-PAX5,REL-RELA,REL-PRDM1,REL-AICDA,PAX5-IRF4,PAX5-REL,PAX5-PAX5,PAX5-RELA,PAX5-PRDM1,PAX5-AICDA,RELA-IRF4,RELA-REL,RELA-PAX5,RELA-RELA,RELA-PRDM1,RELA-AICDA,PRDM1-IRF4,PRDM1-REL,PRDM1-PAX5,PRDM1-RELA,PRDM1-PRDM1,PRDM1-AICDA,AICDA-IRF4,AICDA-REL,AICDA-PAX5,AICDA-RELA,AICDA-PRDM1,AICDA-AICDA
1.263813625148276554e+00,-6.332371990605907552e-02,-2.827849141943541891e-03,3.212100482319860551e-03,1.451135249740517219e-01,-1.336697901059695145e-02,-6.332371990605907552e-02,1.256515965603906215e+00,7.056211140672263848e-02,1.281826875983053428e-02,-1.178210004104803532e-01,7.153074689913384299e-02,-2.827849141943541891e-03,7.056211140672263848e-02,1.224886501937582750e+00,4.037582051038088315e-02,-9.195562387727326814e-02,6.029300867039174422e-02,3.212100482319860551e-03,1.281826875983053428e-02,4.037582051038088315e-02,1.184027431168501954e+00,-6.273329684666279632e-03,-1.143406834290037902e-03,1.451135249740517219e-01,-1.178210004104803532e-01,-9.195562387727326814e-02,-6.273329684666279632e-03,1.097573574831216980e+00,-6.665578333610144846e-02,-1.336697901059695145e-02,7.153074689913384299e-02,6.029300867039174422e-02,-1.143406834290037902e-03,-6.665578333610144846e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.478019579412018503e-02,-3.346701657788560269e-03,2.919990266263233596e-03,1.491748214437622622e-01,-1.417682759115052211e-02,-6.478019579412018503e-02,1.256515965603906215e+00,7.220645471445580332e-02,1.319425281713204785e-02,-1.201659384057952168e-01,7.369322381008162892e-02,-3.346701657788560269e-03,7.220645471445580332e-02,1.224886501937582750e+00,4.098370096784691857e-02,-9.389863645407292569e-02,6.161528612626744617e-02,2.919990266263233596e-03,1.319425281713204785e-02,4.098370096784691857e-02,1.184027431168501954e+00,-6.023821226103487012e-03,-1.447651907930550073e-03,1.491748214437622622e-01,-1.201659384057952168e-01,-9.389863645407292569e-02,-6.023821226103487012e-03,1.097573574831216980e+00,-6.864702426884693176e-02,-1.417682759115052211e-02,7.369322381008162892e-02,6.161528612626744617e-02,-1.447651907930550073e-03,-6.864702426884693176e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.593079427920675584e-02,-3.776887056118564262e-03,2.661134143836034558e-03,1.524584531006726029e-01,-1.485892823417549018e-02,-6.593079427920675584e-02,1.256515965603906215e+00,7.349781739193841923e-02,1.349536184952807027e-02,-1.220199881538230335e-01,7.546724380477372318e-02,-3.776887056118564262e-03,7.349781739193841923e-02,1.224886501937582750e+00,4.144143334905169007e-02,-9.543945151001879956e-02,6.265748205491822320e-02,2.661134143836034558e-03,1.349536184952807027e-02,4.144143334905169007e-02,1.184027431168501954e+00,-5.794506993832829016e-03,-1.716961704469050724e-03,1.524584531006726029e-01,-1.220199881538230335e-01,-9.543945151001879956e-02,-5.794506993832829016e-03,1.097573574831216980e+00,-7.029404211477134623e-02,-1.485892823417549018e-02,7.546724380477372318e-02,6.265748205491822320e-02,-1.716961704469050724e-03,-7.029404211477134623e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.683930624565873058e-02,-4.129656569861673253e-03,2.435335521750238343e-03,1.551105494411127161e-01,-1.543015802438206345e-02,-6.683930624565873058e-02,1.256515965603906215e+00,7.451080514382669995e-02,1.373639468607371940e-02,-1.234883149195585561e-01,7.692285480891203342e-02,-4.129656569861673253e-03,7.451080514382669995e-02,1.224886501937582750e+00,4.178688988548109190e-02,-9.666240243613087590e-02,6.347978727125683229e-02,2.435335521750238343e-03,1.373639468607371940e-02,4.178688988548109190e-02,1.184027431168501954e+00,-5.588202654787455606e-03,-1.951854327348300205e-03,1.551105494411127161e-01,-1.234883149195585561e-01,-9.666240243613087590e-02,-5.588202654787455606e-03,1.097573574831216980e+00,-7.165668898780210017e-02,-1.543015802438206345e-02,7.692285480891203342e-02,6.347978727125683229e-02,-1.951854327348300205e-03,-7.165668898780210017e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.755645095773255004e-02,-4.416401271943698817e-03,2.240660923914960818e-03,1.572506806483214004e-01,-1.590640095496540993e-02,-6.755645095773255004e-02,1.256515965603906215e+00,7.530458348371814326e-02,1.392928319506236794e-02,-1.246528117670690494e-01,7.811756874260929184e-02,-4.416401271943698817e-03,7.530458348371814326e-02,1.224886501937582750e+00,4.204823628823965709e-02,-9.763376522272501634e-02,6.412935783545782586e-02,2.240660923914960818e-03,1.392928319506236794e-02,4.204823628823965709e-02,1.184027431168501954e+00,-5.405419050020246474e-03,-2.154321011121137705e-03,1.572506806483214004e-01,-1.246528117670690494e-01,-9.763376522272501634e-02,-5.405419050020246474e-03,1.097573574831216980e+00,-7.278430861671356111e-02,-1.590640095496540993e-02,7.811756874260929184e-02,6.412935783545782586e-02,-2.154321011121137705e-03,-7.278430861671356111e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.812246153266639237e-02,-4.647794810580716494e-03,2.074306300340539051e-03,1.589763817204157825e-01,-1.630205530036125949e-02,-6.812246153266639237e-02,1.256515965603906215e+00,7.592595335703308801e-02,1.408361190524840684e-02,-1.255774792582708965e-01,7.909851910692732024e-02,-4.647794810580716494e-03,7.592595335703308801e-02,1.224886501937582750e+00,4.224644049877080559e-02,-9.840575190911257653e-02,6.464312215006966233e-02,2.074306300340539051e-03,1.408361190524840684e-02,4.224644049877080559e-02,1.184027431168501954e+00,-5.245308813748562199e-03,-2.327161771623474651e-03,1.589763817204157825e-01,-1.255774792582708965e-01,-9.840575190911257653e-02,-5.245308813748562199e-03,1.097573574831216980e+00,-7.371761618079482326e-02,-1.630205530036125949e-02,7.909851910692732024e-02,6.464312215006966233e-02,-2.327161771623474651e-03,-7.371761618079482326e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.856919289658024164e-02,-4.833386634744277384e-03,1.933131634975389368e-03,1.603670136688390702e-01,-1.662984650642418405e-02,-6.856919289658024164e-02,1.256515965603906215e+00,7.641186500983650209e-02,1.420706433811757402e-02,-1.263124898671774965e-01,7.990429404429100213e-02,-4.833386634744277384e-03,7.641186500983650209e-02,1.224886501937582750e+00,4.239713491391120664e-02,-9.901957821478174493e-02,6.505000269494755349e-02,1.933131634975389368e-03,1.420706433811757402e-02,4.239713491391120664e-02,1.184027431168501954e+00,-5.106277257464631424e-03,-2.473533857304775329e-03,1.603670136688390702e-01,-1.263124898671774965e-01,-9.901957821478174493e-02,-5.106277257464631424e-03,1.097573574831216980e+00,-7.449022905683864992e-02,-1.662984650642418405e-02,7.990429404429100213e-02,6.505000269494755349e-02,-2.473533857304775329e-03,-7.449022905683864992e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.892182857057167766e-02,-4.981463682286927687e-03,1.813979886634906839e-03,1.614870173456163516e-01,-1.690082172404295743e-02,-6.892182857057167766e-02,1.256515965603906215e+00,7.679144914716228010e-02,1.430579422149302719e-02,-1.268972812195161559e-01,8.056647039102170227e-02,-4.981463682286927687e-03,7.679144914716228010e-02,1.224886501937582750e+00,4.251199512896155358e-02,-9.950783415336304782e-02,6.537266341968119010e-02,1.813979886634906839e-03,1.430579422149302719e-02,4.251199512896155358e-02,1.184027431168501954e+00,-4.986371515561189953e-03,-2.596656498289973657e-03,1.614870173456163516e-01,-1.268972812195161559e-01,-9.950783415336304782e-02,-4.986371515561189953e-03,1.097573574831216980e+00,-7.512991804256953510e-02,-1.690082172404295743e-02,8.056647039102170227e-02,6.537266341968119010e-02,-2.596656498289973657e-03,-7.512991804256953510e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.920025458291195752e-02,-5.099064530169913553e-03,1.713857360745481284e-03,1.623886297198407491e-01,-1.712444582467389370e-02,-6.920025458291195752e-02,1.256515965603906215e+00,7.708764534758144604e-02,1.438472852468765037e-02,-1.273629251390237527e-01,8.111088492673998451e-02,-5.099064530169913553e-03,7.708764534758144604e-02,1.224886501937582750e+00,4.259975947104139432e-02,-9.989632527059880140e-02,6.562887840562285635e-02,1.713857360745481284e-03,1.438472852468765037e-02,4.259975947104139432e-02,1.184027431168501954e+00,-4.883523484207465647e-03,-2.699627407099862951e-03,1.623886297198407491e-01,-1.273629251390237527e-01,-9.989632527059880140e-02,-4.883523484207465647e-03,1.097573574831216980e+00,-7.565963306072168160e-02,-1.712444582467389370e-02,8.111088492673998451e-02,6.562887840562285635e-02,-2.699627407099862951e-03,-7.565963306072168160e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.942016002845760592e-02,-5.192073594847401545e-03,1.630026379834351819e-03,1.631141352061976080e-01,-1.730874815221464941e-02,-6.942016002845760592e-02,1.256515965603906215e+00,7.731850062312434213e-02,1.444781216601411823e-02,-1.277339519962631398e-01,8.155868107387950761e-02,-5.192073594847401545e-03,7.731850062312434213e-02,1.224886501937582750e+00,4.266698271701087342e-02,-1.002055087948314216e-01,6.583260111007363524e-02,1.630026379834351819e-03,1.444781216601411823e-02,4.266698271701087342e-02,1.184027431168501954e+00,-4.795696729920227025e-03,-2.785317184001976677e-03,1.631141352061976080e-01,-1.277339519962631398e-01,-1.002055087948314216e-01,-4.795696729920227025e-03,1.097573574831216980e+00,-7.609834583487018467e-02,-1.730874815221464941e-02,8.155868107387950761e-02,6.583260111007363524e-02,-2.785317184001976677e-03,-7.609834583487018467e-02,9.445903222971372415e-01
