# IRF4-IRF4,IRF4-REL,IRF4-PAX5,IRF4-RELA,IRF4-PRDM1,IRF4-AICDA,REL-IRF4,REL-REL,REL-PAX5,REL-RELA,REL-PRDM1,REL-AICDA,PAX5-IRF4,PAX5-REL,PAX5-PAX5,PAX5-RELA,PAX5-PRDM1,PAX5-AICDA,RELA-IRF4,RELA-REL,RELA-PAX5,RELA-RELA,RELA-PRDM1,RELA-AICDA,PRDM1-IRF4,PRDM1-REL,PRDM1-PAX5,PRDM1-RELA,PRDM1-PRDM1,PRDM1-AICDA,AICDA-IRF4,AICDA-REL,AICDA-PAX5,AICDA-RELA,AICDA-PRDM1,AICDA-AICDA
1.263813625148276554e+00,-4.785175921295001938e-02,1.158374838562514124e-03,4.805367307044873526e-03,1.054670504191490277e-01,-6.946409381658966327e-03,-4.785175921295001938e-02,1.256515965603906215e+00,5.284228499953198127e-02,9.033079885367587686e-03,-9.226701617873159234e-02,5.123558776998173026e-02,1.158374838562514124e-03,5.284228499953198127e-02,1.224886501937582750e+00,3.255090751515415243e-02,-7.116509372533472155e-02,4.594780132562135272e-02,4.805367307044873526e-03,9.033079885367587686e-03,3.255090751515415243e-02,1.184027431168501954e+00,-7.299252370841127768e-03,6.660336098625828632e-04,1.054670504191490277e-01,-9.226701617873159234e-02,-7.116509372533472155e-02,-7.299252370841127768e-03,1.097573574831216980e+00,-4.835982668754999075e-02,-6.946409381658966327e-03,5.123558776998173026e-02,4.594780132562135272e-02,6.660336098625828632e-04,-4.835982668754999075e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.031419052835284234e-02,6.935788557440832666e-04,4.693860190170432573e-03,1.114875680546224129e-01,-7.769815770048680431e-03,-5.031419052835284234e-02,1.256515965603906215e+00,5.567371652072575922e-02,9.614114575678015667e-03,-9.644603393419802495e-02,5.426255930992918142e-02,6.935788557440832666e-04,5.567371652072575922e-02,1.224886501937582750e+00,3.393038538604772197e-02,-7.452204537023297826e-02,4.826530003476453556e-02,4.693860190170432573e-03,9.614114575678015667e-03,3.393038538604772197e-02,1.184027431168501954e+00,-7.283961467771157133e-03,4.983713231581844054e-04,1.114875680546224129e-01,-9.644603393419802495e-02,-7.452204537023297826e-02,-7.283961467771157133e-03,1.097573574831216980e+00,-5.107293206250734102e-02,-7.769815770048680431e-03,5.426255930992918142e-02,4.826530003476453556e-02,4.983713231581844054e-04,-5.107293206250734102e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.251074980484387450e-02,2.278485450372931347e-04,4.555036772198518824e-03,1.169313379818044951e-01,-8.558013922633131085e-03,-5.251074980484387450e-02,1.256515965603906215e+00,5.819902774231233700e-02,1.013911056395129170e-02,-1.001335664364764594e-01,5.701175234040773560e-02,2.278485450372931347e-04,5.819902774231233700e-02,1.224886501937582750e+00,3.512361062803904393e-02,-7.749706947825019121e-02,5.032274450592028742e-02,4.555036772198518824e-03,1.013911056395129170e-02,3.512361062803904393e-02,1.184027431168501954e+00,-7.229826161057098174e-03,3.183898022825393703e-04,1.169313379818044951e-01,-1.001335664364764594e-01,-7.749706947825019121e-02,-7.229826161057098174e-03,1.097573574831216980e+00,-5.353670607066459558e-02,-8.558013922633131085e-03,5.701175234040773560e-02,5.032274450592028742e-02,3.183898022825393703e-04,-5.353670607066459558e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.446913224384049984e-02,-2.292703157717131449e-04,4.397865167638952133e-03,1.218496002205790851e-01,-9.306835626137736558e-03,-5.446913224384049984e-02,1.256515965603906215e+00,6.044890510018877117e-02,1.061240694538602251e-02,-1.033907500869638563e-01,5.950690561566940318e-02,-2.292703157717131449e-04,6.044890510018877117e-02,1.224886501937582750e+00,3.615561753994154387e-02,-8.013543236465699160e-02,5.214863552989239953e-02,4.397865167638952133e-03,1.061240694538602251e-02,3.615561753994154387e-02,1.184027431168501954e+00,-7.147107107053338182e-03,1.308306706114347297e-04,1.218496002205790851e-01,-1.033907500869638563e-01,-8.013543236465699160e-02,-7.147107107053338182e-03,1.097573574831216980e+00,-5.577459074505571740e-02,-9.306835626137736558e-03,5.950690561566940318e-02,5.214863552989239953e-02,1.308306706114347297e-04,-5.577459074505571740e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.621433174942508382e-02,-6.709162863280291288e-04,4.229393641859299779e-03,1.262898504079837114e-01,-1.001377771945524686e-02,-5.621433174942508382e-02,1.256515965603906215e+00,6.245156436826868052e-02,1.103833899477607919e-02,-1.062705122704487720e-01,6.177022474115313050e-02,-6.709162863280291288e-04,6.245156436826868052e-02,1.224886501937582750e+00,3.704820020875222025e-02,-8.247668824574551361e-02,5.376861168011641545e-02,4.229393641859299779e-03,1.103833899477607919e-02,3.704820020875222025e-02,1.184027431168501954e+00,-7.043945267655612325e-03,-6.036661589480576138e-05,1.262898504079837114e-01,-1.062705122704487720e-01,-8.247668824574551361e-02,-7.043945267655612325e-03,1.097573574831216980e+00,-5.780771889385687839e-02,-1.001377771945524686e-02,6.177022474115313050e-02,5.376861168011641545e-02,-6.036661589480576138e-05,-5.780771889385687839e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.776887529252371090e-02,-1.092352225771075656e-03,4.055105526843905128e-03,1.302959335656435069e-01,-1.067764206703280573e-02,-5.776887529252371090e-02,1.256515965603906215e+00,6.423277896864827696e-02,1.142111215643079603e-02,-1.088187836412503606e-01,6.382234318548632435e-02,-1.092352225771075656e-03,6.423277896864827696e-02,1.224886501937582750e+00,3.782028494937093865e-02,-8.455546514515689671e-02,5.520565926962305719e-02,4.055105526843905128e-03,1.142111215643079603e-02,3.782028494937093865e-02,1.184027431168501954e+00,-6.926774052185296141e-03,-2.519810554720523788e-04,1.302959335656435069e-01,-1.088187836412503606e-01,-8.455546514515689671e-02,-6.926774052185296141e-03,1.097573574831216980e+00,-5.965516227818689482e-02,-1.067764206703280573e-02,6.382234318548632435e-02,5.520565926962305719e-02,-2.519810554720523788e-04,-5.965516227818689482e-02,9.445903222971372415e-01
1.263813625148276554e+00,-5.915304055707423792e-02,-1.490504076654348368e-03,3.879215484134173383e-03,1.339081850682762032e-01,-1.129823797711729944e-02,-5.915304055707423792e-02,1.256515965603906215e+00,6.581596833572689320e-02,1.176472334499172913e-02,-1.110755115824821893e-01,6.568233159526597198e-02,-1.490504076654348368e-03,6.581596833572689320e-02,1.224886501937582750e+00,3.848827545730843652e-02,-8.640213096167022322e-02,5.648033001618492366e-02,3.879215484134173383e-03,1.176472334499172913e-02,3.848827545730843652e-02,1.184027431168501954e+00,-6.800651645941047617e-03,-4.414247751734322192e-04,1.339081850682762032e-01,-1.110755115824821893e-01,-8.640213096167022322e-02,-6.800651645941047617e-03,1.097573574831216980e+00,-6.133414940710880253e-02,-1.129823797711729944e-02,6.568233159526597198e-02,5.648033001618492366e-02,-4.414247751734322192e-04,-6.133414940710880253e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.038505797130953867e-02,-1.863584373080968623e-03,3.704915146379547837e-03,1.371636025604344444e-01,-1.187613845942170690e-02,-6.038505797130953867e-02,1.256515965603906215e+00,6.722232355385472646e-02,1.207291569659890706e-02,-1.130755108956267851e-01,6.736774057833765095e-02,-1.863584373080968623e-03,6.722232355385472646e-02,1.224886501937582750e+00,3.906636717167251416e-02,-8.804335992162656832e-02,5.761095751576267299e-02,3.704915146379547837e-03,1.207291569659890706e-02,3.906636717167251416e-02,1.184027431168501954e+00,-6.669529296465754285e-03,-6.266601211522602284e-04,1.371636025604344444e-01,-1.130755108956267851e-01,-8.804335992162656832e-02,-6.669529296465754285e-03,1.097573574831216980e+00,-6.286025718277210572e-02,-1.187613845942170690e-02,6.736774057833765095e-02,5.761095751576267299e-02,-6.266601211522602284e-04,-6.286025718277210572e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.148129797798389251e-02,-2.210787392636173222e-03,3.534575628540351146e-03,1.400960365961430310e-01,-1.241248231310733245e-02,-6.148129797798389251e-02,1.256515965603906215e+00,6.847095410939441074e-02,1.234915661382222744e-02,-1.148491806699953321e-01,6.889466575429388506e-02,-2.210787392636173222e-03,6.847095410939441074e-02,1.224886501937582750e+00,3.956682991509626740e-02,-8.950261594159444889e-02,5.861386655401709667e-02,3.534575628540351146e-03,1.234915661382222744e-02,3.956682991509626740e-02,1.184027431168501954e+00,-6.536468107667181733e-03,-8.061217046660214183e-04,1.400960365961430310e-01,-1.148491806699953321e-01,-8.950261594159444889e-02,-6.536468107667181733e-03,1.097573574831216980e+00,-6.424758002188217521e-02,-1.241248231310733245e-02,6.889466575429388506e-02,5.861386655401709667e-02,-8.061217046660214183e-04,-6.424758002188217521e-02,9.445903222971372415e-01
1.263813625148276554e+00,-6.245644426169132818e-02,-2.532044219906508156e-03,3.369913660656255385e-03,1.427363908864685560e-01,-1.290881481268664477e-02,-6.245644426169132818e-02,1.256515965603906215e+00,6.957904445002434379e-02,1.259663171413350456e-02,-1.164231106610675859e-01,7.027782671661771119e-02,-2.532044219906508156e-03,6.957904445002434379e-02,1.224886501937582750e+00,4.000025951685712983e-02,-9.080056643723502519e-02,5.950357145621330140e-02,3.369913660656255385e-03,1.259663171413350456e-02,4.000025951685712983e-02,1.184027431168501954e+00,-6.403814357277609268e-03,-9.786448616444659316e-04,1.427363908864685560e-01,-1.164231106610675859e-01,-9.080056643723502519e-02,-6.403814357277609268e-03,1.097573574831216980e+00,-6.550887953574627276e-02,-1.290881481268664477e-02,7.027782671661771119e-02,5.950357145621330140e-02,-9.786448616444659316e-04,-6.550887953574627276e-02,9.445903222971372415e-01
